Year,1.5 °C ,lower_15,upper_15,well below 2 °C,lower_2,upper_2
2021,955000,859500,1050500,975000,877500,1072500
2022,910000,819000,1001000,950000,855000,1045000
2023,865000,778500,951500,925000,832500,1017500
2024,820000,738000,902000,900000,810000,990000
2025,775000,697500,852500,875000,787500,962500
2026,730000,657000,803000,850000,765000,935000
2027,685000,616500,753500,825000,742500,907500
2028,640000,576000,704000,800000,720000,880000
2029,595000,535500,654500,775000,697500,852500
2030,550000,495000,605000,750000,675000,825000
2031,521052.6842,468947.4158,573157.9526,730769.2564,657692.3308,803846.182
2032,492105.3684,442894.8316,541315.9052,711538.5128,640384.6615,782692.3641
2033,463158.0526,416842.2473,509473.8579,692307.7692,623076.9923,761538.5461
2034,434210.7368,390789.6631,477631.8105,673077.0256,605769.323,740384.7282
2035,405263.4211,364737.079,445789.7632,653846.2821,588461.6539,719230.9103
2036,376316.1053,338684.4948,413947.7158,634615.5385,571153.9847,698077.0924
2037,347368.7895,312631.9106,382105.6685,615384.7949,553846.3154,676923.2744
2038,318421.4737,286579.3263,350263.6211,596154.0513,536538.6462,655769.4564
2039,289474.1579,260526.7421,318421.5737,576923.3077,519230.9769,634615.6385
2040,260526.8421,234474.1579,286579.5263,557692.5641,501923.3077,613461.8205
2041,231579.5263,208421.5737,254737.4789,538461.8205,484615.6385,592308.0026
2042,202632.2105,182368.9895,222895.4316,519231.0769,467307.9692,571154.1846
2043,173684.8947,156316.4052,191053.3842,500000.3333,450000.3,550000.3666
2044,144737.5789,130263.821,159211.3368,480769.5897,432692.6307,528846.5487
2045,115790.2632,104211.2369,127369.2895,461538.8462,415384.9616,507692.7308
2046,86842.94737,78158.65263,95527.24211,442308.1026,398077.2923,486538.9129
2047,57895.63158,52106.06842,63685.19474,423077.359,380769.6231,465385.0949
2048,28947.81579,26053.03421,31842.59737,403846.6154,363461.9539,444231.2769
2049,14473.9079,13026.51711,15921.29869,384615.8718,346154.2846,423077.459
2050,1,0.9,1.1,365385.1282,328846.6154,401923.641
2050,1,0.9,1.1,365385.1282,328846.6154,401923.641
