Year,1.5°C,well below 2°C
2021,955000,975000
2022,910000,950000
2023,865000,925000
2024,820000,900000
2025,775000,875000
2026,730000,850000
2027,685000,825000
2028,640000,800000
2029,595000,775000
2030,550000,750000
2031,521052.6842,730769.2564
2032,492105.3684,711538.5128
2033,463158.0526,692307.7692
2034,434210.7368,673077.0256
2035,405263.4211,653846.2821
2036,376316.1053,634615.5385
2037,347368.7895,615384.7949
2038,318421.4737,596154.0513
2039,289474.1579,576923.3077
2040,260526.8421,557692.5641
2041,231579.5263,538461.8205
2042,202632.2105,519231.0769
2043,173684.8947,500000.3333
2044,144737.5789,480769.5897
2045,115790.2632,461538.8462
2046,86842.94737,442308.1026
2047,57895.63158,423077.359
2048,28947.81579,403846.6154
2049,14473.9079,384615.8718
2050,1,365385.1282
2050,1,365385.1282
