price,well below 2° - Flat ,1.5° - Flat,well below 2° -  Progressing,1.5° - Progressing
0,0.9,1,0.9,1
1,0.9,1,0.9,1
2,0.9,1,0.9,1
3,0.9,1,0.9,1
4,0.9,1,0.9,1
5,0.9,1,0.9,1
6,0.9,1,0.9,1
7,0.9,1,0.9,1
8,0.9,1,0.9,1
9,0.9,1,0.9,1
10,0.9,1,0.9,1
11,0.9,1,0.9,1
12,0.9,1,0.9,1
13,0.9,1,0.9,1
14,0.9,1,0.9,1
15,0.9,1,0.9,1
16,0.9,1,0.9,1
17,0.9,1,0.9,1
18,0.9,1,0.9,1
19,0.9,1,0.9,1
20,0.9,1,0.9,1
21,0.9,1,0.9,1
22,0.9,1,0.9,1
23,0.9,1,0.9,1
24,0.9,1,0.9,1
25,0.9,1,0.8995,1
26,0.9,1,0.899005,1
27,0.9,1,0.89851495,1
28,0.9,1,0.898029801,1
29,0.9,1,0.897549502,1
30,0.9,1,0.897074007,1
31,0.9,1,0.896603267,1
32,0.9,1,0.896137235,1
33,0.9,1,0.895675862,1
34,0.9,1,0.895219104,1
35,0.9,1,0.894766913,1
36,0.9,1,0.894319244,1
37,0.9,1,0.893876051,1
38,0.9,1,0.893437291,1
39,0.9,1,0.893002918,1
40,0.9,1,0.892572889,1
41,0.9,1,0.89214716,1
42,0.9,1,0.891725688,1
43,0.9,1,0.891308431,1
44,0.9,1,0.890895347,1
45,0.9,1,0.890486393,1
46,0.9,1,0.890081529,1
47,0.9,1,0.889680714,1
48,0.9,1,0.889283907,1
49,0.9,1,0.888891068,1
50,0.9,1,0.888502157,1
51,0.9,1,0.888117136,1
52,0.9,1,0.887735964,1
53,0.9,1,0.887358605,1
54,0.9,1,0.886985019,1
55,0.9,1,0.886615168,1
56,0.9,1,0.886249017,1
57,0.9,1,0.885886527,1
58,0.9,1,0.885527661,1
59,0.9,1,0.885172385,1
60,0.9,1,0.884820661,1
61,0.9,1,0.884472454,1
62,0.9,1,0.88412773,1
63,0.9,1,0.883786452,1
64,0.9,1,0.883448588,1
65,0.9,1,0.883114102,1
66,0.9,1,0.882782961,1
67,0.9,1,0.882455131,1
68,0.9,1,0.88213058,1
69,0.9,1,0.881809274,1
70,0.9,1,0.881491182,1
71,0.9,1,0.88117627,1
72,0.9,1,0.880864507,1
73,0.9,1,0.880555862,1
74,0.9,1,0.880250303,1
75,0.9,1,0.8799478,1
76,0.9,1,0.879648322,1
77,0.9,1,0.879351839,1
78,0.9,1,0.879058321,1
79,0.9,1,0.878767737,1
80,0.9,1,0.87798006,1
81,0.9,1,0.87720026,1
82,0.9,1,0.876428257,1
83,0.9,1,0.875663974,1
84,0.9,1,0.874907335,1
85,0.9,1,0.874158261,1
86,0.9,1,0.873416679,1
87,0.9,1,0.872682512,1
88,0.9,1,0.871955687,1
89,0.9,1,0.87123613,1
90,0.9,1,0.870523769,1
91,0.9,1,0.869818531,1
92,0.9,1,0.869120346,1
93,0.9,1,0.868429142,1
94,0.9,1,0.867744851,1
95,0.9,1,0.867067402,1
96,0.9,1,0.866396728,1
97,0.9,1,0.865732761,1
98,0.9,1,0.865075433,1
99,0.9,1,0.864424679,1
100,0.9,1,0.863780432,1
101,0.9,1,0.863142628,1
102,0.9,1,0.862511202,1
103,0.9,1,0.86188609,1
104,0.9,1,0.861267229,1
105,0.9,1,0.860654556,1
106,0.9,1,0.860048011,1
107,0.9,1,0.859447531,1
108,0.9,1,0.858853055,1
109,0.9,1,0.858264525,1
110,0.9,1,0.85768188,1
111,0.9,1,0.857105061,1
112,0.9,1,0.85653401,1
113,0.9,1,0.85596867,1
114,0.9,1,0.855408983,1
115,0.9,1,0.854854894,1
116,0.9,1,0.854306345,1
